City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
0,Faanui,PF,-16.4833,-151.75,78.49,69,29,20.58,scattered clouds
1,Plouzane,FR,48.3833,-4.6167,62.78,77,0,14.97,clear sky
2,Deniliquin,AU,-35.5333,144.9667,50.72,59,0,7.11,clear sky
3,Castro,BR,-24.7911,-50.0119,52.57,96,100,8.86,overcast clouds
4,Bay-Khaak,RU,51.1667,94.5,60.71,59,100,10.04,light rain
5,New Norfolk,AU,-42.7826,147.0587,51.71,85,100,2.73,overcast clouds
6,Naustdal,NO,61.509,5.7168,54.12,92,75,4.61,fog
7,Cape Town,ZA,-33.9258,18.4232,58.1,96,75,4.61,light intensity drizzle
8,Saint Anthony,US,45.0205,-93.218,65.93,87,0,5.75,clear sky
9,Samarai,PG,-10.6167,150.6667,77.36,74,100,19.08,overcast clouds
10,Bluff,NZ,-46.6,168.3333,37.8,72,31,6.42,scattered clouds
11,Kapaa,US,22.0752,-159.319,80.58,91,75,17.27,heavy intensity rain
12,Foindu,SL,7.4108,-11.5422,72.57,98,100,2.01,overcast clouds
13,Dospat,BG,41.65,24.1667,63.66,41,0,7.14,clear sky
14,Rikitea,PF,-23.1203,-134.9692,69.89,84,100,7.94,moderate rain
15,Lata,PT,40.1629,-8.3327,88.48,33,99,2.98,overcast clouds
16,Nanortalik,GL,60.1432,-45.2371,47.57,78,100,13.85,light rain
17,Vaini,TO,-21.2,-175.2,76.73,85,0,15.7,clear sky
18,Tasiilaq,GL,65.6145,-37.6368,38.46,74,52,5.57,broken clouds
19,Busselton,AU,-33.65,115.3333,62.73,70,11,24.11,few clouds
20,Port Alfred,ZA,-33.5906,26.891,60.19,59,100,5.01,overcast clouds
21,Kargasok,RU,59.0556,80.8572,68.0,41,100,4.45,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.52,82,42,17.74,light rain
23,Kitgum,UG,3.2783,32.8867,67.59,86,99,2.51,overcast clouds
24,Natchez,US,31.5604,-91.4032,73.62,78,100,13.8,overcast clouds
25,Isangel,VU,-19.55,169.2667,77.14,86,10,11.81,clear sky
26,Reporoa,NZ,-38.4333,176.35,50.41,98,100,4.09,moderate rain
27,Jamestown,US,42.097,-79.2353,62.24,91,0,4.61,clear sky
