City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
0,Faanui,PF,78.49,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Samarai,PG,77.36,overcast clouds,-10.6167,150.6667,Nuli Sapi
14,Rikitea,PF,69.89,moderate rain,-23.1203,-134.9692,People ThankYou
17,Vaini,TO,76.73,clear sky,-21.2,-175.2,Keleti Beach Resort
21,Kargasok,RU,68.0,overcast clouds,59.0556,80.8572,Hotel Kargasok
24,Natchez,US,73.62,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
25,Isangel,VU,77.14,clear sky,-19.55,169.2667,Tanna Lodge
28,Carnarvon,AU,73.53,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,San Lawrenz,MT,79.86,clear sky,36.0553,14.204,San Andrea Hotel
31,Esperance,AU,71.1,overcast clouds,-33.8667,121.9,Hospitality Esperance
39,Jamkhandi,IN,73.0,overcast clouds,16.5167,75.3,Hotel Shreyas
47,Aquiraz,BR,77.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
56,Arraial Do Cabo,BR,70.11,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Muros,ES,78.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
64,Raton,US,73.74,broken clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
66,Atuona,PF,77.7,clear sky,-9.8,-139.0333,Villa Enata
68,Katsuura,JP,76.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
69,Ust-Nera,RU,74.71,broken clouds,64.5667,143.2,Hotel Ust-Nera
73,Rosetta,EG,79.9,clear sky,31.4044,30.4164,Green Valley
78,Bethel,US,71.96,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
84,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
91,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
97,Namibe,AO,69.87,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Linjiang,CN,74.19,scattered clouds,41.8069,126.9078,格林豪泰
101,Richards Bay,ZA,71.87,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
103,Ronse,BE,69.8,broken clouds,50.7505,3.6049,Hostellerie Lou Pahou
105,Touros,BR,72.52,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
106,Cururupu,BR,74.89,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
107,Campobasso,IT,79.95,clear sky,41.6333,14.5833,Tre Archi
108,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
120,Havre,FR,72.34,clear sky,49.5833,0.3333,gite bois jourdain
127,Bustamante,MX,77.09,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
128,Ponta Do Sol,PT,68.72,clear sky,32.6667,-17.1,Hotel do Campo
131,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
132,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
134,Puerto Carreno,CO,73.6,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
135,Gornopravdinsk,RU,79.72,light rain,60.05,69.9,Hostel
138,Palu,ID,74.75,light rain,-0.8917,119.8707,Hotel Santika Palu
139,Kaduna,NG,74.01,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
140,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
142,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
143,Lagoa,PT,68.65,overcast clouds,39.05,-27.9833,Casa Das Faias
144,Tongliao,CN,74.68,overcast clouds,43.6125,122.2653,Meirujia Hotel
148,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
152,Sorokino,RU,69.37,overcast clouds,53.75,84.9167,Northern Hotel
156,Westport,US,74.08,clear sky,41.1415,-73.3579,The Westport Inn
158,Panaba,MX,75.09,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
159,Carutapera,BR,75.99,few clouds,-1.195,-46.02,Lidera
160,Algiers,DZ,73.22,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
165,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
168,Miles City,US,72.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
171,Saint-Philippe,RE,75.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
172,San Miguel,SV,72.14,overcast clouds,13.4833,-88.1833,Excalibur
