City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-07-10 16:40:25,41.3712,-73.414,81.16,44,0,1.01
1,Kaitangata,NZ,2022-07-10 16:44:25,-46.2817,169.8464,37.0,87,70,4.36
2,Bambous Virieux,MU,2022-07-10 16:44:25,-20.3428,57.7575,70.21,68,75,18.41
3,Laguna,US,2022-07-10 16:44:25,38.421,-121.4238,87.08,55,0,1.01
4,Norman Wells,CA,2022-07-10 16:44:26,65.282,-126.8329,64.44,77,75,4.61
5,Nikolskoye,RU,2022-07-10 16:44:26,59.7035,30.7861,67.91,91,96,3.18
6,Ushuaia,AR,2022-07-10 16:40:37,-54.8,-68.3,35.26,69,75,14.97
7,Clarksburg,US,2022-07-10 16:41:57,39.2807,-80.3445,85.89,50,0,10.36
8,Hermanus,ZA,2022-07-10 16:44:27,-34.4187,19.2345,52.81,76,100,5.41
9,Kindia,GN,2022-07-10 16:44:27,10.0569,-12.8658,75.4,91,98,2.33
10,Kapaa,US,2022-07-10 16:44:28,22.0752,-159.319,75.52,91,100,14.97
11,Qaanaaq,GL,2022-07-10 16:44:28,77.484,-69.3632,43.54,69,100,0.58
12,Rikitea,PF,2022-07-10 16:44:28,-23.1203,-134.9692,72.23,80,22,7.43
13,Saskylakh,RU,2022-07-10 16:44:29,71.9167,114.0833,47.37,81,100,11.25
14,Hithadhoo,MV,2022-07-10 16:44:29,-0.6,73.0833,82.8,71,100,2.95
15,Mataura,NZ,2022-07-10 16:44:29,-46.1927,168.8643,32.49,97,50,2.37
16,Rabo De Peixe,PT,2022-07-10 16:44:30,37.8,-25.5833,69.31,68,75,11.5
17,Torbay,CA,2022-07-10 16:41:20,47.6666,-52.7314,70.88,45,40,27.63
18,Ribeira Grande,PT,2022-07-10 16:44:30,38.5167,-28.7,72.0,64,75,10.36
19,Ostrovnoy,RU,2022-07-10 16:44:30,68.0531,39.5131,58.32,73,77,15.14
20,Porto Nacional,BR,2022-07-10 16:44:31,-10.7081,-48.4172,89.6,23,14,7.0
21,Beloha,MG,2022-07-10 16:44:31,-25.1667,45.05,66.61,63,0,10.92
22,Sao Filipe,CV,2022-07-10 16:44:31,14.8961,-24.4956,74.53,82,39,7.47
23,Busselton,AU,2022-07-10 16:44:32,-33.65,115.3333,54.82,66,67,4.47
24,Punta Arenas,CL,2022-07-10 16:44:32,-53.15,-70.9167,35.71,64,75,4.61
25,Manokwari,ID,2022-07-10 16:44:32,-0.8667,134.0833,77.36,82,100,4.74
26,Znin,PL,2022-07-10 16:44:33,52.8496,17.7199,60.13,52,61,10.96
27,Wuda,CN,2022-07-10 16:44:33,39.4994,106.7117,84.22,24,100,17.31
28,Ponta Do Sol,PT,2022-07-10 16:44:34,32.6667,-17.1,79.12,61,4,3.65
29,Thompson,CA,2022-07-10 16:44:34,55.7435,-97.8558,68.16,83,75,3.44
30,Katherine,AU,2022-07-10 16:44:35,-14.4667,132.2667,52.12,71,28,8.05
31,Vila Velha,BR,2022-07-10 16:42:13,-20.3297,-40.2925,76.95,79,75,3.44
32,Cockburn Town,TC,2022-07-10 16:43:26,21.4612,-71.1419,85.96,66,40,16.11
33,Chokurdakh,RU,2022-07-10 16:44:35,70.6333,147.9167,56.68,57,100,10.0
34,Butaritari,KI,2022-07-10 16:44:35,3.0707,172.7902,81.95,79,14,18.77
35,Nome,US,2022-07-10 16:44:36,64.5011,-165.4064,56.16,76,0,3.44
36,Aklavik,CA,2022-07-10 16:44:36,68.2191,-135.0107,53.6,100,100,6.91
37,Port Alfred,ZA,2022-07-10 16:44:36,-33.5906,26.891,56.17,93,96,7.0
38,Poum,NC,2022-07-10 16:44:36,-20.2333,164.0167,78.33,82,5,14.27
39,Kruisfontein,ZA,2022-07-10 16:44:37,-34.0033,24.7314,51.89,89,94,11.5
40,Khor,RU,2022-07-10 16:44:37,47.8861,134.9464,66.27,86,83,3.42
41,Kavieng,PG,2022-07-10 16:44:37,-2.5744,150.7967,82.0,74,65,12.19
42,Avarua,CK,2022-07-10 16:44:38,-21.2078,-159.775,71.65,60,100,2.3
43,East London,ZA,2022-07-10 16:45:38,-33.0153,27.9116,61.74,94,20,5.75
44,Kununurra,AU,2022-07-10 16:45:38,-15.7667,128.7333,49.98,76,37,1.14
45,Puerto Leguizamo,CO,2022-07-10 16:45:39,-0.1934,-74.7819,78.75,78,99,1.92
46,La Roda,ES,2022-07-10 16:45:39,39.2167,-2.15,99.0,20,0,19.13
47,Jian,CN,2022-07-10 16:45:39,27.1172,114.9793,81.37,73,21,4.52
48,Aswan,EG,2022-07-10 16:45:40,24.0934,32.907,101.5,16,0,8.05
49,Santos Dumont,BR,2022-07-10 16:45:40,-21.4567,-43.5525,78.6,39,28,7.7
50,Male,MV,2022-07-10 16:45:40,4.1748,73.5089,84.15,79,75,12.66
51,Porto Novo,BJ,2022-07-10 16:41:58,6.4965,2.6036,80.42,77,99,10.29
52,Mahabad,IR,2022-07-10 16:45:41,36.7631,45.7222,78.6,26,0,2.75
53,Karratha,AU,2022-07-10 16:45:41,-20.7377,116.8463,64.02,35,2,4.97
54,Port Elizabeth,ZA,2022-07-10 16:45:41,-33.918,25.5701,57.49,92,0,7.0
55,Linxia,CN,2022-07-10 16:45:42,35.6003,103.2064,66.63,95,94,2.98
56,Hilo,US,2022-07-10 16:42:08,19.7297,-155.09,74.28,94,100,3.0
57,Sisimiut,GL,2022-07-10 16:45:42,66.9395,-53.6735,42.55,78,97,8.95
58,Vaini,TO,2022-07-10 16:45:42,-21.2,-175.2,73.56,88,75,8.05
59,Puerto Ayora,EC,2022-07-10 16:45:43,-0.7393,-90.3518,75.16,88,82,7.0
60,Iqaluit,CA,2022-07-10 16:45:43,63.7506,-68.5145,44.33,75,20,5.75
61,Haines Junction,CA,2022-07-10 16:45:43,60.7522,-137.5108,51.75,76,89,0.0
62,Souillac,MU,2022-07-10 16:45:44,-20.5167,57.5167,70.18,68,75,18.41
63,Marrakesh,MA,2022-07-10 16:45:44,31.6315,-8.0083,113.07,6,20,6.91
64,Harnosand,SE,2022-07-10 16:45:44,62.6323,17.9379,61.0,83,44,10.87
65,Henties Bay,NA,2022-07-10 16:45:44,-22.116,14.2845,56.86,86,0,15.43
66,Arraial Do Cabo,BR,2022-07-10 16:45:45,-22.9661,-42.0278,78.76,73,20,24.16
